,att_all_ave,att_AD_ave,att_SCZ_ave,att_dat_ave
Micro:IRF8 -> C12orf75,0.01960445590969592,0.18879236676295116,0.11965206875512684,0.008705235641937462
Oligo:ETV6 -> CD86,0.5044675471703732,0.42605490953006475,0.40121750261586886,0.09734862399402937
Astro:TCF7L1 -> IGFBP7,4.74739470124284e-09,0.00014667877373492722,2.5425067050940714e-07,2.8196850335133263e-11
Oligo:ETV6 -> SRGN,0.7875225371430163,0.057772737111562576,0.0538406625207461,0.15332411142064523
Endo:KLF2 -> ATP10A,0.37677142443980205,0.3314069104036894,0.25889422882146135,0.6176566411936912
Oligo:ETV6 -> ALPK1,0.039256438639706744,0.8268947716553421,0.7805629337925343,0.00374139427653959
Oligo:FLI1 -> NCKAP1L,0.023019423019159206,0.015045371054251466,0.005174045237464899,0.07423864078501667
Micro:IRF8 -> WDFY4,0.9615220567911624,0.16280021646061824,0.42506740303053503,0.34894594803369405
Oligo:FLI1 -> IL13RA1,0.27848246145089484,0.36893616573960286,0.22732000002572145,0.31126051042107344
Oligo:ETV6 -> MAML3,0.19924672263595133,0.6201463421676461,0.6074862254413222,0.0749453852348951
EN_L5_6_NP:ERG -> CDH6,0.817401503682831,0.36679566456988555,0.4878512134812216,0.6913454202073562
Oligo:IKZF1 -> TFEC,0.731521364456836,0.8523160917870892,0.9070079019418493,0.5471888668419005
Oligo:IKZF1 -> MAF,0.8271670922161132,0.7596026305139196,0.8320479856901937,0.8880394499367371
Oligo:FLI1 -> A2M,0.15310883093978175,0.37232507738122556,0.25328134905236654,0.08256974031581864
OPC:ETS1 -> SYNE2,0.04562100146557368,0.04567365851556319,0.06035443477391901,0.06689747057026252
IN_PVALB:PRDM1 -> TAC1,0.36399001125716735,0.23571778500432208,0.12999167278661702,0.9799799914745695
Micro:IRF8 -> DOCK8,0.788303153334089,0.2882701974536869,0.36787220526459974,0.7573261550959725
Oligo:IKZF1 -> RASGEF1C,0.7502798259793783,0.6712541104367463,0.2821173083812175,0.9192331394416267
Oligo:FLI1 -> CD84,0.12181594428073073,0.09931121366835419,0.10470967658720004,0.17383638283156108
Micro:TAL1 -> P2RY12,0.027774867584058845,0.42599215468611407,0.1473114218618562,0.024009182585139576
Oligo:FLI1 -> ZFP36L1,0.6255623427352976,0.5732085012158691,0.29404332991450616,0.8855576999939723
Astro:TCF7L2 -> ARHGAP31,0.002266439731214798,0.0279328869354373,0.0074174057423110435,0.0013735404612190188
Oligo:IKZF1 -> SAMSN1,0.7033060362789718,0.6304541435860426,0.7436763453552417,0.7637009911479894
EN_L3_5_IT_3:BCL11A -> SLC8A1,0.3597766746433675,0.27650105729256635,0.30516323088467673,0.4521131442025017
Micro:NFATC2 -> RIN3,0.7050637181038395,0.3357403309431989,0.03582731336524586,0.41702219188975653
Micro:TAL1 -> SRGAP2C,0.006728310394099077,0.17982883766292207,0.23858446579130993,0.008879337323716806
Oligo:ETV6 -> LY86,0.37962784037718245,0.49978205465296643,0.2675685816870786,0.06013007204246611
Oligo:IKZF1 -> ARHGAP25,0.06775059490559739,0.0752031034296413,0.09600718490025137,0.08522980231022124
Oligo:IKZF1 -> BLNK,0.4712938633527699,0.5444137691254329,0.3130768017863593,0.5811179572788936
OPC:SOX6 -> SOX5,0.03614065300730261,0.2293101007804898,0.7417176893339577,0.0011208484051187532
Oligo:ETV6 -> BLNK,0.00348168985810409,0.5808515772146983,0.7696164551890887,0.001393945193830631
Oligo:IKZF1 -> NCK2,0.16441907554230384,0.9202857585830879,0.5956155295029832,0.022486823320767835
Oligo:ETV6 -> TNFRSF1B,0.07488244854003788,0.8173464003023121,0.9948467019412655,0.004479054173166124
Micro:IRF8 -> PALD1,0.8318072823695172,0.377898514043952,0.6067913386350416,0.8050936704675
Oligo:FLI1 -> ST6GAL1,0.007357521344447282,0.004218073544472121,0.004728803881692713,0.024276658801376333
Oligo:FLI1 -> ANKRD44,0.02391746916199863,0.13224997189179924,0.015894707676486822,0.016886742589687722
Oligo:ETV6 -> LPAR6,0.5866236411824943,0.053284336583908416,0.12858859545061432,0.08013543924988169
Oligo:RUNX1 -> LY86,0.13360758163240313,0.0375202469134594,0.106942123021377,0.2941186939477313
Oligo:FLI1 -> FAM149A,0.00987707734970898,0.061598266844434375,0.010621987172985186,0.007742521928723038
Oligo:FLI1 -> CD53,0.1902002835985843,0.9173489980533036,0.15991832414864232,0.08292506264815463
Oligo:RUNX1 -> ARHGAP22,0.14751817320431362,0.14603887508611332,0.14090978899931686,0.20968534727763624
Oligo:RUNX1 -> ARHGAP15,0.04540048581948289,0.06886208573249568,0.055008518598891054,0.048527137266756344
Micro:IRF8 -> FGD2,0.5204733975946999,0.5814332079189649,0.7531151304869019,0.4061982343205369
Oligo:FLI1 -> DLEU7,0.29478431549876005,0.527668045510644,0.39499287443387787,0.2178707306888306
Oligo:FLI1 -> ITGAM,0.914792296279351,0.7113101020893596,0.5973413345525233,0.8156932323201276
Micro:NFATC2 -> WDFY4,0.4184447359617335,0.7654358855717365,0.23354066234290183,0.5724474858656531
Oligo:IKZF1 -> IL17RA,0.1277972814947667,0.07657906318664312,0.07154095870362084,0.25162485967020903
OPC:ZEB1 -> KCNIP1,0.005647544327898438,0.02933094221982231,0.0026056261083956286,0.008568352548232822
Oligo:ETV6 -> ST6GAL1,0.0630312612357771,0.6542572564245712,0.6149119290840164,0.0057975922752843715
Oligo:RUNX1 -> CTSB,4.937844991228615e-05,0.00015588440901881967,2.475939657860488e-05,0.0001387079310316644
Oligo:FLI1 -> ETV6,0.0061910107460971895,0.008099030483859033,0.0023839438944119077,0.019756340769732355
Oligo:FLI1 -> ETS2,0.6810808266787616,0.7693187850816366,0.5600421068739085,0.7412158170059701
Oligo:IKZF1 -> CSF3R,0.6516797368101214,0.906446856014002,0.565400776450473,0.587301748604678
Micro:TAL1 -> TMEM156,0.8497180010737947,0.6407590763719127,0.5586902197794621,0.6359917282608682
Oligo:FLI1 -> IL4R,0.6213955141928207,0.9030196484609132,0.7048931835624902,0.5011127928024781
Micro:IRF8 -> TAL1,0.0021525764282719294,0.2739068747318156,0.20578104697984778,0.00012345297099432704
Oligo:IKZF1 -> CPED1,0.523612208142616,0.3850247065500837,0.4795740990395868,0.6691896510333262
Oligo:ETV6 -> SLC11A1,0.00022546861707948724,0.12228748938220142,0.04121531143695845,6.962235831575659e-05
