edges,logFC,p_values,neg_log10_p
IN_VIP --> EN_L5_6_NP,1.265301932303861,0.0008291323251604543,3.081376152802011
IN_VIP --> EN_L6B,0.40466219885616544,0.39321928300648123,0.40536519303225166
IN_VIP --> EN_L6_CT,0.77269166372929,0.014142723608806062,1.8494669459583957
IN_VIP --> EN_L6_IT_1,1.3226752323189115,0.0038226333367368088,2.4176373570865803
IN_VIP --> EN_L6_IT_2,1.279751760208398,0.1212443901041722,0.9163383467724224
IN_VIP --> IN_ADARB2,0.8264238750355799,0.008838025145157542,2.0536447671562064
IN_VIP --> IN_LAMP5_LHX6,0.48743794192336526,0.37036320806901524,0.43137216271967604
IN_VIP --> IN_LAMP5_RELN,0.3970440873371522,0.329086925661212,0.4826893715068477
IN_VIP --> IN_PVALB,0.8628258942126297,0.0049141863396888535,2.308548379649935
IN_VIP --> IN_PVALB_CHC,0.7895016153363448,0.10023201257517178,0.9989935492838669
IN_VIP --> IN_SST,0.47984078644366596,0.11801483193232121,0.928063407765302
IN_VIP --> IN_VIP,0.23414529066954778,0.03687562883970827,1.4332605649314296
IN_VIP --> OPC,0.09490056473395433,0.7572597092701002,0.12075514961558147
IN_VIP --> Oligo,0.2342067306275809,0.6768491545393802,0.1695081092331618
Immune --> Astro,-0.7341627812376806,0.025526623472707566,1.5930066275831813
Immune --> EN_L2_3_IT,-0.13235828877261815,0.6205411913236605,0.2072293848810992
Immune --> EN_L3_5_IT_1,-0.3932725572356906,0.18796438016158631,0.7259244431030012
Immune --> EN_L3_5_IT_2,-0.19282450736431153,0.46891810173599413,0.3289030017838336
Immune --> EN_L3_5_IT_3,-0.042313890222546044,0.8793288115588076,0.055848696777065124
Immune --> EN_L5_6_NP,-0.48176261037295415,0.0858036687932029,1.0664941421911682
Immune --> EN_L6B,-0.3265546370100388,0.20877261837906708,0.6803264619277789
Immune --> EN_L6_IT_1,-0.5079734526156727,0.0939260742235012,1.0272138292518436
Immune --> EN_L6_IT_2,-0.40484771036357187,0.2786134458447954,0.5549979284171118
Immune --> IN_LAMP5_LHX6,-0.32718431464849457,0.21398713978216163,0.6696123261343021
Immune --> IN_LAMP5_RELN,-0.08647989525477208,0.8175971019655515,0.08746065659610412
Immune --> IN_PVALB,-0.37090541695969315,0.3436281009272969,0.46391132802286617
Immune --> IN_PVALB_CHC,-0.20336623021729522,0.49784090363505185,0.3029094237314428
Immune --> IN_VIP,0.21465027969138223,0.5419943220228307,0.26600526314255313
Immune --> Immune,-0.17147196488652086,0.31412680136659515,0.5028950079215991
Immune --> Micro,-0.2073154659347465,0.49757738559534803,0.3031393661273924
Immune --> OPC,-0.5079368709525548,0.0347792165966122,1.458680204725492
Immune --> Oligo,-0.4460622639720551,0.05894457298974581,1.2295561740990668
Immune --> PVM,-0.16462438211754454,0.5547656645722936,0.25589042602022444
Micro --> Astro,-0.9243795218028235,9.650673093694747e-07,6.015442395393708
Micro --> EN_L2_3_IT,-1.1063467552549708,1.1961066360572772e-06,5.922230100124538
Micro --> EN_L3_5_IT_1,-1.1200375901814794,1.0787258248435683e-05,4.96708892407366
Micro --> EN_L3_5_IT_2,-0.7238778525292734,0.0016708287942803937,2.7770680489148587
Micro --> EN_L3_5_IT_3,-1.1901378064470522,1.5583931861803267e-05,4.807322959342997
Micro --> EN_L5_6_NP,-1.3036944604002672,7.888580765913841e-05,4.103001123656735
Micro --> EN_L6B,-1.448227204565992,1.3721659025050467e-06,5.862593376831422
Micro --> EN_L6_CT,-1.3429275909706622,4.41844631727138e-07,6.354730417179376
Micro --> EN_L6_IT_1,-0.8505918396924258,0.0007868127884771278,3.104128589881434
Micro --> EN_L6_IT_2,-1.2217535473560457,8.736542650057488e-05,4.058660398608389
Micro --> Endo,-0.5092410221975255,0.08311946842447113,1.0802972428938182
Micro --> IN_ADARB2,-1.1840476946028466,0.00021551162950008608,3.666529289348073
Micro --> IN_LAMP5_LHX6,-1.0389936473517536,3.580572395504316e-05,4.446047540859451
Micro --> IN_LAMP5_RELN,-1.0109880827364537,5.58981877070867e-06,5.252602272284786
Micro --> IN_PVALB,-1.092262842430275,1.970666996684384e-05,4.705386756603769
Micro --> IN_PVALB_CHC,-0.6415038575974554,0.00688206833265283,2.162281019546137
Micro --> IN_VIP,-1.019919039085167,5.224531221714804e-05,4.281952671141468
Micro --> Immune,-0.4935915639461373,0.3268874168803104,0.4856017967173516
Micro --> Micro,-0.2997236211422512,2.4482234007136506e-06,5.611148955288553
Micro --> OPC,-1.0288677881143031,7.44345698943803e-08,7.128225316773459
Micro --> Oligo,-1.0948048363999991,4.00283767088143e-10,9.397632021703517
Micro --> PC,0.3242200397275085,0.2879686633016978,0.540654769517195
Micro --> PVM,0.12276235993076573,0.6950966109687018,0.15795482894278592
Micro --> VLMC,-0.5186075494336717,0.28783787681874984,0.5408520574771989
OPC --> Astro,-0.23588314353996098,0.5118303658803212,0.2908739518543573
OPC --> EN_L2_3_IT,0.16604872887978056,0.6983304616871642,0.15593901330181056
OPC --> EN_L3_5_IT_1,1.0871415647242773,0.0013326327514460489,2.8752895174992896
OPC --> EN_L3_5_IT_2,0.13943198517106137,0.7430150692109483,0.12900237815221577
OPC --> EN_L3_5_IT_3,0.7491752344294923,0.06845051952353323,1.164623251323308
OPC --> EN_L5_6_NP,0.24244406655421716,0.5070022677492076,0.294990098124722
OPC --> EN_L6B,0.3474452568548242,0.3492673958475032,0.45684195391118115
OPC --> EN_L6_CT,0.6892379812920898,0.05156516899723432,1.2876435545758675
OPC --> EN_L6_IT_1,0.4588576888846132,0.19124076370423124,0.7184195306535586
OPC --> EN_L6_IT_2,0.24663058864557957,0.6480827276228596,0.18836955299221386
OPC --> IN_ADARB2,0.783685649974368,0.011213442180250463,1.950261051952939
OPC --> IN_LAMP5_LHX6,0.359735163682662,0.40649208419607274,0.3909479072001419
OPC --> IN_LAMP5_RELN,0.30382970341703397,0.5324890850457948,0.2736892899605196
OPC --> IN_PVALB,0.5925314445561504,0.11343901804604191,0.9452375414966154
OPC --> IN_PVALB_CHC,1.3483249060885034,0.000556205714690351,3.254764553325625
OPC --> IN_SST,0.3710705292990061,0.28423329356974386,0.5463250524931654
OPC --> IN_VIP,0.37744164540505365,0.20906435102939164,0.6797200153465016
OPC --> OPC,0.0311574265080925,0.8127918201564415,0.09002067572796603
OPC --> Oligo,0.30454183292169723,0.5947003762796685,0.2257017867132129
Oligo --> Astro,0.1623450348819314,0.500956392137028,0.30020007748311345
Oligo --> EN_L2_3_IT,0.4353115543992622,0.06931503397156132,1.1591725595761873
Oligo --> EN_L3_5_IT_1,0.4474801830071978,0.07737890534525017,1.1113774183971479
Oligo --> EN_L3_5_IT_2,0.7025541549055951,0.005888913919118942,2.22996479391006
Oligo --> EN_L3_5_IT_3,0.8423600850983817,0.0007397707045295673,3.1309028710647824
Oligo --> EN_L5_6_NP,0.6868554059113959,0.01008090876974993,1.9965003155196863
Oligo --> EN_L6B,0.26247821664962,0.41040716336393546,0.3867850675300641
Oligo --> EN_L6_CT,0.5585085591622557,0.029225494799632656,1.534238127319894
Oligo --> EN_L6_IT_1,0.29661889325902285,0.3234474080035249,0.49019632479641506
Oligo --> EN_L6_IT_2,0.3115026131532783,0.3347270434725941,0.47530919843858216
Oligo --> Endo,-0.4229865307239839,0.41857911062688613,0.3782224491121067
Oligo --> IN_ADARB2,0.5622697096040706,0.12355433105111857,0.9081420263150464
Oligo --> IN_LAMP5_LHX6,0.8261921303650027,0.0005565200863160781,3.254519156183168
Oligo --> IN_LAMP5_RELN,0.5936655729641137,0.08407938002555623,1.0753104993165474
Oligo --> IN_PVALB,0.5412086992098268,0.03865477573077094,1.4127968420977521
Oligo --> IN_PVALB_CHC,1.032334594096954,0.0020118660496318643,2.6964009380506537
Oligo --> IN_SST,0.47415802578874194,0.2733002581105116,0.5633599581503032
Oligo --> IN_VIP,0.7822699744140473,0.005479992769514575,2.2612200145378925
Oligo --> OPC,-0.1616586164725845,0.609738393211916,0.21485645802857273
Oligo --> Oligo,0.0721627769743638,0.5111780196788549,0.29142782882738566
PC --> Astro,-0.26503656752836474,0.25003588947472316,0.6019976493993707
PC --> EN_L2_3_IT,-0.12642328492209795,0.5765912142460152,0.23913197941840544
PC --> EN_L3_5_IT_1,0.04026708001414353,0.8434879059987506,0.07392113998138942
PC --> EN_L3_5_IT_2,0.03839609386152934,0.8872303547008159,0.05196360814209123
PC --> EN_L3_5_IT_3,-0.01738293494493469,0.9423323625962917,0.02579589361531198
PC --> EN_L5_6_NP,0.07053562539117363,0.8050374862033428,0.09418389643683109
PC --> EN_L6B,-0.16382014273919987,0.5160278426283771,0.2873268650905276
PC --> EN_L6_CT,-0.05982842110150792,0.7836456168723915,0.10588029118248812
PC --> EN_L6_IT_1,-0.1728846203031832,0.46964525705627547,0.32823005924178367
PC --> EN_L6_IT_2,-0.19447930252496184,0.42739417988261597,0.3691713962151739
PC --> Endo,0.3991054793531681,0.1912492443246334,0.7184002721810909
PC --> IN_ADARB2,0.17481887691901296,0.5652552310171015,0.24775540989131567
PC --> IN_LAMP5_LHX6,0.09118148611135493,0.6823641643617112,0.165983789033709
PC --> IN_LAMP5_RELN,0.22551881597797702,0.2998731108803022,0.5230624749535657
PC --> IN_PVALB,0.19612806132590982,0.4412595667165269,0.35530586579186374
PC --> IN_PVALB_CHC,-0.037474368403827556,0.9015709678986789,0.04500008174944633
PC --> IN_VIP,-0.16623305236265573,0.7059664525298814,0.15121593609737347
