,AD:att_all_ave,AD:att_AD_ave,AD:att_SCZ_ave,AD:att_dat_ave,Control:att_all_ave,Control:att_AD_ave,Control:att_SCZ_ave,Control:att_dat_ave
Oligo:JUND -> PTMA,0.07167771675534677,0.031792362517635536,0.03876953843254698,0.1080744830356023,0.03227402070733865,0.02885520619825406,0.028790131877431086,0.035725372376834735
Oligo:ETV6 -> DENND3,0.04581939032525633,0.017014073564281165,0.02108118810364906,0.07259114981654757,0.0167610661650043,0.006294387424147464,0.005675713463239044,0.02753708188631536
EN_L5_6_NP:ERG -> SLC7A5,0.09215557543751722,0.0828619337738878,0.08414899185054661,0.10080568806281728,0.13805314309114317,0.11542843605297193,0.10791531324269796,0.16443441153445135
Micro:TAL1 -> IKZF1,0.0267222852538936,0.01583923765655743,0.018410336892662686,0.036319783233177166,0.022682085530157887,0.003727466073870189,0.006831504309079585,0.04008468586884092
OPC:ZEB1 -> MYT1,0.11566615381436897,0.13020671331480277,0.110621234397869,0.11091833377240203,0.023614266110855563,0.0108711328550193,0.012622555553471014,0.035481688017465984
Astro:TCF7L2 -> PRDM16,0.15677644279765357,0.1413213437495093,0.16123320520429543,0.16227561111840477,0.10550757626750791,0.11800226007578876,0.13435435580051575,0.08483684459686362
Oligo:ETV6 -> PTPRC,0.03293393617965277,0.007465133948024936,0.009695070563406478,0.05728777010358987,0.021082144147470026,0.011373080766190077,0.01672426902882214,0.028115613397433972
Oligo:FLI1 -> PALD1,0.047707339108758115,0.03025671338823973,0.030128935604790803,0.06522185372100098,0.05170010189287827,0.038198863788362236,0.037463037924528125,0.06556925292931139
Oligo:FLI1 -> HLA-B,0.10665652291338402,0.08549301130813117,0.08422796915943384,0.1284525555929855,0.11627788660870195,0.09553828175059478,0.08946735905351068,0.14005295281535118
Oligo:FLI1 -> CSF3R,0.0845676957736198,0.0681487542949073,0.0669291546224904,0.10159643708854076,0.09201236952125753,0.07008853810576172,0.07060265046709188,0.11367914475608827
Oligo:FLI1 -> TM6SF1,0.09094681784627788,0.07920071801816495,0.07031587525315518,0.10713533905689572,0.16411592758784682,0.1373372954986284,0.13772804150202744,0.19069918667536567
Oligo:FLI1 -> HLA-E,0.10174601997270402,0.08465330765182766,0.07385830363862479,0.12423623430018182,0.08059037761467668,0.05436480446586453,0.052964838717983256,0.10751593363742944
Oligo:ETV6 -> IL13RA1,0.05434776157308498,0.02682934277017936,0.025897586832454716,0.08233205834485295,0.02909666578334923,0.02094004234158627,0.02195149549073161,0.03674756265053953
Oligo:RUNX1 -> ZFP36L2,0.07746848868272883,0.06370181812777848,0.06524077941611804,0.0904656785935094,0.13738878103023805,0.12907852483644394,0.13020534195122407,0.14513562866664204
Oligo:IKZF1 -> P2RY12,0.046224433780062024,0.031169269472708268,0.02954655741808071,0.06209095411472957,0.04531451310023528,0.034028480453904865,0.03594641459301435,0.05564157867701102
Micro:TAL1 -> PLA2G4A,0.027407944142400605,0.011736888753556508,0.007575078528188172,0.04515990464392889,0.03827126792929113,0.012210353027959997,0.01220998308777986,0.06433236780071236
Oligo:RUNX1 -> GAB3,0.06399996278144128,0.04503013395235244,0.046049828167736256,0.08245994450283821,0.1433582645727624,0.14277093473116592,0.13738314571367902,0.14663948892310236
Oligo:IKZF1 -> NCKAP1L,0.04028463987422942,0.024268123646894162,0.023686888570224912,0.056591773639899326,0.04860889781638058,0.03899016123988972,0.03922653678730107,0.058109446619165776
Oligo:FLI1 -> CIITA,0.07559095780003333,0.06962377084585175,0.059132373426037325,0.0868038434641221,0.08292616318742324,0.06213955212130467,0.06898361441351394,0.1002907431074372
