,variable,value,var_cat,category
428,CT,25,CT,nodes
429,CT,20,CT,nodes
430,CT,27,CT,nodes
431,CT,25,CT,nodes
432,CT,22,CT,nodes
433,CT,15,CT,nodes
434,CT,26,CT,nodes
435,CT,24,CT,nodes
436,CT,26,CT,nodes
437,CT,19,CT,nodes
438,CT,27,CT,nodes
439,CT,24,CT,nodes
440,CT,17,CT,nodes
441,CT,26,CT,nodes
442,CT,26,CT,nodes
443,CT,25,CT,nodes
444,CT,26,CT,nodes
445,CT,26,CT,nodes
446,CT,26,CT,nodes
447,CT,27,CT,nodes
448,CT,27,CT,nodes
449,CT,26,CT,nodes
450,CT,26,CT,nodes
451,CT,27,CT,nodes
452,CT,25,CT,nodes
453,CT,25,CT,nodes
454,CT,25,CT,nodes
455,CT,22,CT,nodes
456,CT,11,CT,nodes
457,CT,25,CT,nodes
458,CT,25,CT,nodes
459,CT,25,CT,nodes
460,CT,27,CT,nodes
461,CT,27,CT,nodes
462,CT,27,CT,nodes
463,CT,26,CT,nodes
464,CT,20,CT,nodes
465,CT,26,CT,nodes
466,CT,27,CT,nodes
467,CT,20,CT,nodes
468,CT,25,CT,nodes
469,CT,25,CT,nodes
470,CT,27,CT,nodes
471,CT,26,CT,nodes
472,CT,27,CT,nodes
473,CT,27,CT,nodes
474,CT,24,CT,nodes
475,CT,26,CT,nodes
476,CT,25,CT,nodes
477,CT,27,CT,nodes
478,CT,26,CT,nodes
479,CT,26,CT,nodes
480,CT,26,CT,nodes
481,CT,26,CT,nodes
482,CT,27,CT,nodes
483,CT,26,CT,nodes
484,CT,12,CT,nodes
485,CT,27,CT,nodes
486,CT,27,CT,nodes
487,CT,25,CT,nodes
488,CT,26,CT,nodes
489,CT,27,CT,nodes
490,CT,24,CT,nodes
491,CT,24,CT,nodes
492,CT,26,CT,nodes
493,CT,26,CT,nodes
494,CT,23,CT,nodes
495,CT,27,CT,nodes
496,CT,26,CT,nodes
497,CT,24,CT,nodes
498,CT,27,CT,nodes
499,CT,23,CT,nodes
500,CT,26,CT,nodes
501,CT,25,CT,nodes
502,CT,26,CT,nodes
503,CT,26,CT,nodes
504,CT,26,CT,nodes
505,CT,21,CT,nodes
506,CT,25,CT,nodes
507,CT,27,CT,nodes
508,CT,27,CT,nodes
509,CT,26,CT,nodes
510,CT,27,CT,nodes
511,CT,26,CT,nodes
512,CT,26,CT,nodes
513,CT,26,CT,nodes
514,CT,27,CT,nodes
515,CT,6,CT,nodes
516,CT,24,CT,nodes
517,CT,27,CT,nodes
518,CT,26,CT,nodes
519,CT,27,CT,nodes
520,CT,23,CT,nodes
521,CT,24,CT,nodes
522,CT,27,CT,nodes
523,CT,18,CT,nodes
