"","x"
"731","HSD17B6"
"732","NR1H3"
"733","SPA17"
"734","KDM4A"
"735","NGEF"
"736","SREBF1"
"737","NT5C2"
"738","KIF22"
"739","DDHD2"
"740","TMED2"
"741","SF3B2"
"742","PITPNM2"
"743","PUS7"
"744","CACNA1I"
"745","GRAP2"
"746","RANGAP1"
"747","PPP1R16B"
"748","NDFIP2"
"749","MAZ"
"750","CDIPT"
"751","TRIM35"
"752","RAI1"
"753","SIAE"
"754","MDK"
"755","AMBRA1"
"756","MADD"
"757","OGFOD2"
"758","GTF2H3"
"759","DDX55"
"760","EFHD1"
"761","NEU2"
"762","PRPF3"
"763","PTK2B"
"764","CHRNA2"
"765","EPHX2"
"766","CRY2"
"767","ARHGAP9"
"768","LRP1"
"769","KLC1"
"770","ZSWIM6"
"771","ARHGEF16"
"772","HIP1R"
"773","FAM83F"
"774","DDB2"
"775","ACP2"
"776","SRPK2"
"777","PHF21A"
"778","OS9"
"779","VPS45"
"780","SBNO1"
"781","VPS37B"
"782","RBM26"
"783","GID4"
"784","RERE"
"785","PRDM16"
"786","PTPRF"
"787","SF3B4"
"788","ECM1"
"789","TARS2"
"790","ANP32E"
"791","STAR"
"792","CNNM2"
"793","DGKZ"
"794","CELF1"
"795","DOC2A"
"796","HIRIP3"
"797","TAOK2"
"798","ABCB9"
"799","CACNA1C"
"800","RABGAP1L"
"801","PCGF6"
"802","TDRD9"
"803","BAG4"
"804","CACNA1D"
"805","PEX10"
"806","SV2A"
"807","CTSS"
"808","ASB5"
"809","LETM2"
"810","BAG5"
"811","STAT6"
"812","MARS"
"813","C16orf92"
"814","PRRT2"
"815","ZEB2"
"816","INO80E"
"817","ESCO2"
"818","ATPAF2"
"819","EFEMP2"
"820","MUS81"
"821","CFL1"
"822","SNX32"
"823","OVOL1"
"824","RNASEH2C"
"825","KAT5"
"826","RELA"
"827","LRRN3"
"828","SEZ6L2"
"829","ASPHD1"
"830","PACS1"
"831","ZNF408"
"832","CKAP5"
"833","ARHGAP1"
"834","ATG13"
"835","GAL3ST3"
"836","CST6"
"837","LSM1"
"838","BANF1"
"839","EIF1AD"
"840","SART1"
"841","DRAP1"
"842","C11orf68"
"843","FOSL1"
"844","TOM1L2"
"845","BOLA1"
"846","HYI"
"847","ZBTB18"
"848","R3HDM2"
"849","HARBI1"
"850","CHRM4"
"851","ARL6IP4"
"852","NXPH4"
"853","SNORC"
"854","SERHL2"
"855","HIST2H3D"
"856","HIST2H2AC"
"857","HIST2H2AB"
"858","HIST2H2BE"
"859","NDUFA4L2"
"860","EIF4EBP1"
"861","SMIM15"
"862","NACA"
"863","PRIM1"
"864","SZT2"
"865","HIST2H2BF"
"866","HIST2H3A"
"867","NFAM1"
"868","AP5B1"
"869","APOPT1"
"870","MAD1L1"
"871","NISCH"
"872","GLT8D1"
"873","CUL3"
"874","CTNNA1"
"875","ITIH4"
"876","BTBD1"
"877","ANKRD44"
"878","MPPED2"
"879","SMG6"
"880","AP3B2"
"881","DPH1"
"882","INPP4B"
"883","CLCN3"
"884","FXR1"
"885","SF3B1"
"886","PLCL1"
"887","ALMS1"
"888","AKT3"
"889","STAG1"
"890","MAU2"
"891","CCDC62"
"892","NEK1"
"893","FURIN"
"894","GFOD2"
"895","TMEM219"
"896","CCDC144B"
"897","KCTD18"
"898","ADAMTSL3"
"899","SLC45A1"
"900","RFTN2"
"901","DCLK3"
"902","SFMBT1"
"903","WBP1L"
"904","NT5DC2"
"905","SLC35G2"
"906","CPT1C"
"907","EMB"
"908","TSNARE1"
"909","DRC3"
"910","ZSCAN2"
"911","SCAND2P"
"912","F2"
"913","RPS17"
"914","SMG1P5"
"915","GOLGA6L4"
"916","GOLGA6L3"
"917","SNHG17"
"918","STIMATE"
"919","CPEB1"
"920","KRT8P26"
"921","CDIPTOSP"
"922","GOLGA2P7"
"923","RBM26-AS1"
"924","PROB1"
"925",""
"926",""
"927","SERBP1P3"
"928",""
"929","MARS2"
"930",""
"931",""
"932",""
"933","CSPG4P12"
"934","EFL1P1"
"935","UBE2Q2L"
"936",""
"937",""
"938","CSPG4P11"
"939",""
"940",""
"941",""
"942","EMX1"
"943","KCTD13"
"944","HORMAD1"
"945","CTSK"
"946","ARNT"
"947","GPM6A"
"948","WDR17"
"949","BNIPL"
"950","GIGYF2"
"951","CALHM2"
"952","MPHOSPH9"
"953","POLR3H"
"954","CSDC2"
"955","DESI1"
"956","C12orf65"
"957","CDK2AP1"
"958","MEI1"
"959","SNRNP35"
"960","RILPL1"
"961","WBP2NL"
"962","NAGA"
"963","PHETA2"
"964","VSIG2"
"965","MSANTD2"
"966","TKT"
"967","PPP1R13B"
"968","CCDC15"
"969","C11orf49"
"970","CHEK1"
"971","PACSIN3"
"972","MYBPC3"
"973","KBTBD4"
"974","ELOVL7"
"975","DRG2"
"976","SLC9C2"
"977","ANKRD45"
"978","DARS2"
"979","SERPINC1"
"980","RC3H1"
"981","FANCL"
"982","EPN2"
"983","NFATC3"
"984","HSPA9"
"985","HSPE1"
"986","SEC11A"
"987","HSPD1"
"988","NSD3"
"989","PLCH2"
"990","DGKI"
"991","THOC7"
"992","ATXN7"
"993","ZNF592"
"994","DPEP2"
"995","DUS2"
"996","MAP3K11"
"997","WDR73"
"998","OGFRP1"
"999","PRKD1"
"1000","UBE2Q2P1"
"1001","PCNX3"
"1002","NMB"
"1003",""
"1004","DNM1P51"
"1005",""
"1006",""
"1007","BUB1B-PAK6"
"1008",""
"1009",""
"1010",""
"1011","ZFYVE21"
"1012","FOXP1"
"1013","SHMT2"
"1014","SIPA1"
"1015","VRK2"
"1016","AKAP6"
"1017","BRINP2"
"1018","SETD6"
"1019","ARL14EP"
"1020","TYW5"
"1021","GATAD2A"
"1022","SRR"
"1023","TRANK1"
"1024","CHRNA5"
"1025","CALB2"
"1026","FES"
"1027",""
"1028","FTCDNL1"
"1029","LINC00606"
"1030","LINC01068"
"1031",""
"1032","TMEM161B-AS1"
"1033","HNRNPA1P16"
"1034","SLC39A8"
"1035","CYP2D7"
"1036","SNAP91"
"1037","CNTN4"
"1038","DNAJC19"
"1039","NDUFA13"
"1040","TSSK6"
"1041","IRF3"
"1042","RGS6"
"1043","NDRG4"
"1044","SDAD1P1"
"1045","PLCB2"
"1046","PTPRK"
